ID,Name,Age,Gender,DOB,City,Country,Income,Income_in_thousands,Marital_Status,Employment_Status,Num_Children,Education_Level,Health_Status,Height,Weight,BMI,Has_DL,Owns_Vehicle,Blood_Group,Smoker,Alcohol_Consumption,Last_Physical_Checkup,Email,Phone_Number,Allergies,Credit_Score,Life_Insurance,Health_Insurance
11,"Alvin Johnson",52,Male,1973-01-25,"Saint Petersburg",Russia,97228.03,97.23,Divorced,Self-employed,0,Master,Good,1.52,72.39,31.33,0,0,AB+,0,Often,2020-03-16,alvin.johnson@hotmail.com,+76139183429,Nuts,303,1,0
12,"Zachary Mclaughlin",32,Male,1993-04-17,Paris,France,102413.41,102.41,Single,NULL,0,Master,Fair,1.53,88.77,37.92,1,1,B-,0,Often,2021-02-20,zachary.mclaughlin@gmail.com,+33986244380,None,607,0,0
13,"Daniel Howe",61,Male,1964-09-17,"Saint Petersburg",Russia,142434.59,142.43,Widowed,Retired,0,PhD,Excellent,1.75,102.55,33.49,0,0,AB+,0,Never,2023-04-22,daniel.howe@yahoo.com,+76213441207,Nuts,474,0,1
14,"Mr. Timothy Kirk DVM",54,Male,1971-07-01,"New York","United States",90144.35,90.14,Widowed,Unemployed,5,Master,Good,1.64,56.54,21.02,0,0,AB+,1,Never,2023-09-14,mr..dvm@gmail.com,+13605945775,Pollen,464,0,1
15,"Matthew Byrd",71,"Prefer not to say",1954-07-14,"Saint Petersburg",Russia,57820.74,57.82,Widowed,Retired,5,PhD,Good,1.77,57.90,18.48,1,0,O+,1,Never,2023-12-12,matthew.byrd@gmail.com,+76536610971,Pollen,396,0,0
16,"Brenda Johnson",57,Female,1968-03-07,Houston,"United States",92270.99,92.27,Divorced,Self-employed,4,PhD,Good,1.68,68.89,24.41,0,0,AB-,0,Often,2023-11-16,brenda.johnson@gmail.com,+19729343285,Shellfish,373,0,1
17,"Jamie Keith",57,Female,1968-03-23,Singapore,Singapore,74754.61,74.75,Married,Self-employed,0,PhD,Poor,1.95,60.01,15.78,1,1,O+,1,Never,2022-05-27,jamie.keith@gmail.com,+6575845216,None,595,0,0
18,"Justin Parker",69,"Prefer not to say",1956-06-16,Houston,"United States",132259.17,132.26,Married,Retired,2,PhD,Poor,1.77,103.35,32.99,0,0,A+,1,Rarely,2022-06-12,justin.parker@gmail.com,+19703151022,None,745,1,1
19,"Austin Peterson",29,Non-binary,1996-09-16,"Saint Petersburg",Russia,97625.81,97.63,Widowed,Self-employed,0,Master,Good,1.88,118.19,33.44,1,0,A+,1,Rarely,2023-11-28,austin.peterson@gmail.com,+70898581024,None,425,1,0
20,"Joshua Hines",26,Male,1999-11-23,"Chiang Mai",Thailand,72764.37,72.76,Married,Unemployed,3,Bachelor,Good,1.88,119.98,33.95,0,0,A-,1,Often,2020-11-13,joshua.hines@outlook.com,+66105898014,None,696,0,0
21,"Steve Nguyen",33,"Prefer not to say",1992-05-05,"Abu Dhabi","United Arab Emirates",76355.35,76.36,Single,Self-employed,0,Master,Fair,1.60,119.34,46.62,1,NULL,O-,0,Occasionally,2023-08-26,steve.nguyen@hotmail.com,NULL,Dairy,365,1,1
22,"Nicholas Reynolds",34,Male,1991-01-08,Osaka,Japan,107218.79,107.22,Single,Self-employed,0,Master,Poor,1.84,67.19,19.85,1,1,O-,0,Often,2022-11-14,nicholas.reynolds@outlook.com,+816549839446,Nuts,421,0,1
23,"Amber Roberts",47,Non-binary,1978-07-23,"Chiang Mai",Thailand,133696.97,133.70,Divorced,Employed,0,PhD,Excellent,1.90,88.05,24.39,0,0,B-,0,Often,2020-04-25,amber.roberts@outlook.com,+66285687916,None,794,0,0
24,"Andrew Chapman",70,Male,1955-09-21,Shanghai,China,122026.86,122.03,Divorced,Retired,1,PhD,Fair,1.59,114.78,45.40,1,1,B+,0,Rarely,2021-04-15,andrew.chapman@gmail.com,+8619892458493,Shellfish,303,1,1
25,"Brad Cruz DDS",74,Non-binary,1951-12-16,Bangkok,Thailand,111130.93,111.13,Divorced,Retired,5,PhD,Excellent,1.93,75.91,20.38,0,0,A-,1,Never,2023-11-02,brad.dds@hotmail.com,+66775630298,Nuts,786,0,0
26,"Tracy Harrison",68,Female,1957-11-13,Houston,"United States",125697.26,125.70,Widowed,Retired,0,NULL,Poor,1.52,NULL,NULL,1,1,B+,1,Rarely,2020-10-19,tracy.harrison@hotmail.com,+18545066319,Shellfish,692,1,0
27,"Lucas Wall",37,"Prefer not to say",1988-05-11,"Los Angeles","United States",149813.60,149.81,Single,Unemployed,0,Bachelor,Excellent,1.67,110.89,39.76,0,0,O-,0,Never,2020-09-26,lucas.wall@outlook.com,+13338072916,None,580,1,0
28,"Colin Jackson",68,Male,1957-08-05,Kyoto,Japan,116493.69,116.49,Married,Retired,3,Bachelor,Excellent,1.53,80.02,34.18,1,1,B-,0,Occasionally,2022-08-04,colin.jackson@yahoo.com,+810877976103,Shellfish,375,0,1
29,"Jeffrey Anderson",75,Non-binary,1950-12-26,"Chiang Mai",Thailand,69829.55,69.83,Married,Retired,2,Bachelor,Excellent,1.55,94.70,39.42,1,NULL,B+,1,Often,2023-04-06,jeffrey.anderson@hotmail.com,+66410460859,Shellfish,846,1,0
30,"David Pierce",75,Male,1950-01-28,"Los Angeles","United States",64188.55,64.19,Married,Retired,2,PhD,Excellent,1.98,62.80,16.02,1,0,AB+,0,Occasionally,2021-07-15,david.pierce@outlook.com,+19982278674,Pollen,380,1,0
31,"Elizabeth Potts",37,Female,1988-08-23,London,"United Kingdom",112926.79,112.93,Divorced,Self-employed,1,PhD,Excellent,1.58,53.25,21.33,0,0,AB-,1,Often,2023-01-01,elizabeth.potts@yahoo.com,+446388832105,Nuts,373,0,1
32,"David Li",58,Male,1967-12-15,Dubai,"United Arab Emirates",120079.64,120.08,Married,Self-employed,0,Bachelor,Excellent,1.86,92.39,26.71,0,0,B+,1,Rarely,2021-07-12,david.li@hotmail.com,+971723058806,None,753,0,1
33,"Nicholas Clark",55,Non-binary,1970-07-23,Bangalore,India,103817.20,103.82,Widowed,Unemployed,1,Master,Good,1.76,76.77,24.78,0,0,B+,0,Occasionally,2021-09-16,nicholas.clark@hotmail.com,+910444894603,Pollen,548,0,0
34,"Phillip Moore",50,"Prefer not to say",1975-01-21,"Abu Dhabi","United Arab Emirates",90188.36,90.19,Widowed,Employed,4,Master,Fair,1.51,119.38,52.36,0,0,O+,0,Never,2021-08-15,phillip.moore@gmail.com,+971594143564,None,777,0,1
35,"Richard Ramirez",55,Male,1970-04-16,Toronto,Canada,48281.40,48.28,Married,Employed,4,Bachelor,Good,1.72,67.95,22.97,1,0,A+,1,Often,2022-01-11,richard.ramirez@outlook.com,+15265814966,None,846,0,1
36,"Christopher Glass",55,Male,1970-11-04,Lyon,France,99029.58,99.03,Divorced,Employed,0,PhD,Fair,1.73,54.34,18.16,0,0,A+,1,Never,2022-03-31,christopher.glass@gmail.com,+33590086791,Shellfish,733,1,0
37,"Christopher King",46,"Prefer not to say",1979-10-28,Bangalore,India,42461.07,42.46,Married,NULL,4,Master,Excellent,1.97,105.94,27.30,1,1,A+,1,Rarely,2022-05-08,NULL,NULL,Nuts,653,1,0
38,"Tammy Hall",65,Female,1960-03-04,Melbourne,Australia,145345.35,145.35,Married,Retired,3,PhD,Good,1.75,99.20,32.39,1,0,B-,1,Often,2020-12-11,tammy.hall@hotmail.com,+61930668412,Dairy,785,0,0
39,"Brian Eaton",NULL,Non-binary,1983-05-06,"Abu Dhabi","United Arab Emirates",64087.83,64.09,Divorced,Self-employed,0,NULL,Fair,1.77,69.19,22.08,0,0,AB-,0,Occasionally,2023-08-12,brian.eaton@gmail.com,+971338050220,Dairy,734,0,0
40,"Robert Herrera",36,Male,1989-08-18,Munich,Germany,30659.60,30.66,Single,Employed,0,PhD,Poor,1.59,109.99,43.51,0,0,A-,0,Often,2022-12-28,robert.herrera@yahoo.com,+494499984364,Dairy,401,0,0
41,"William Calhoun",NULL,NULL,1973-05-29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,william.calhoun@yahoo.com,NULL,NULL,NULL,NULL,NULL
42,"Shaun Davis",42,Male,1983-07-27,Munich,Germany,143843.19,143.84,Married,Employed,2,PhD,Fair,1.92,64.48,17.49,0,0,O-,0,Occasionally,2023-11-28,shaun.davis@outlook.com,+493255903612,Dairy,716,0,0
43,"Richard Ellis",64,Male,1961-03-11,"Abu Dhabi","United Arab Emirates",91334.29,91.33,Widowed,Retired,2,Master,Fair,1.89,111.84,31.31,1,1,B-,1,Never,2022-02-13,richard.ellis@outlook.com,+971832597469,None,699,0,1
44,"Adam Williams",23,Male,2002-04-03,Bangalore,India,121150.96,121.15,Divorced,Self-employed,0,Bachelor,Good,1.85,102.53,29.96,0,0,B-,0,Often,2020-07-17,adam.williams@yahoo.com,+918338676778,None,516,0,0
45,"Patrick Martinez",NULL,NULL,2003-12-25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,patrick.martinez@yahoo.com,NULL,NULL,NULL,NULL,NULL
46,"Taylor Stone",44,Male,1981-03-20,Mumbai,India,80435.36,80.44,Divorced,Employed,0,Bachelor,Fair,1.77,111.81,35.69,1,0,O-,0,Occasionally,2021-02-27,taylor.stone@yahoo.com,+917152981510,Pollen,496,0,1
47,"Kim Salinas",38,Female,1987-03-07,"Los Angeles","United States",111318.13,111.32,Married,Employed,1,Master,Good,1.81,96.57,29.48,1,1,AB-,1,Never,2022-12-04,kim.salinas@hotmail.com,+16454590881,None,801,1,1
48,"Mary Davis",NULL,Female,2005-10-21,Bangkok,Thailand,125157.75,125.16,Single,NULL,0,Bachelor,Good,1.87,95.74,27.38,0,0,A+,0,Rarely,2023-12-02,mary.davis@outlook.com,+66239742306,Nuts,578,0,0
49,"Lisa Gray",50,Non-binary,1975-02-05,Mumbai,India,63776.26,63.78,Married,Employed,5,NULL,Excellent,1.87,85.42,24.43,1,1,B-,0,Often,2020-02-02,lisa.gray@yahoo.com,+913155684231,Shellfish,384,0,0
50,"Denise Nguyen",50,"Prefer not to say",1975-04-15,London,"United Kingdom",48859.75,48.86,Divorced,Employed,0,PhD,Excellent,1.60,80.51,31.45,0,0,AB-,1,Occasionally,2022-02-25,NULL,+449873930211,None,554,0,0
51,"Jacob Zimmerman",32,"Prefer not to say",1993-09-16,"New York","United States",46621.61,46.62,Divorced,Self-employed,1,Bachelor,Fair,1.76,60.24,19.45,1,0,O-,1,Often,2020-01-12,jacob.zimmerman@hotmail.com,+10824471612,Dairy,443,1,1
52,"Cathy Porter",NULL,NULL,2002-11-22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,cathy.porter@hotmail.com,NULL,NULL,NULL,NULL,NULL
53,"Jeremiah Hernandez",69,Male,1956-06-26,Kyoto,Japan,124080.53,124.08,Married,Retired,0,Master,Poor,1.59,80.40,31.80,1,0,B-,0,Never,2023-12-20,NULL,+812233833065,Shellfish,520,1,0
54,"Cory Phillips",22,"Prefer not to say",2003-04-02,Hamburg,Germany,36947.94,36.95,Single,Employed,0,Bachelor,Fair,1.51,89.93,39.44,1,1,A+,0,Never,2022-03-16,cory.phillips@outlook.com,NULL,Shellfish,452,0,0
55,"Scott Barry",43,Male,1982-03-13,"Saint Petersburg",Russia,81753.05,81.75,Divorced,Self-employed,0,Master,Fair,1.94,83.58,22.21,1,1,O-,1,Never,2020-01-27,scott.barry@hotmail.com,+77302716030,Pollen,378,1,1
56,"Craig Butler",59,"Prefer not to say",1966-02-17,Houston,"United States",128034.19,128.03,Divorced,Unemployed,2,Master,Poor,1.52,93.02,40.26,1,1,B-,0,Often,2020-05-10,craig.butler@outlook.com,+12570312210,None,647,0,1
57,"Anthony Luna",NULL,"Prefer not to say",1953-01-09,Birmingham,"United Kingdom",101189.68,101.19,Married,Retired,1,NULL,Good,1.94,100.16,26.61,1,0,A-,0,Occasionally,2020-12-22,anthony.luna@outlook.com,+440924666888,Shellfish,717,0,1
58,"Andre Morris",45,Male,1980-05-06,Osaka,Japan,66729.01,66.73,Single,Self-employed,0,Bachelor,Poor,1.93,101.75,27.32,0,0,AB+,1,Rarely,2022-10-03,andre.morris@outlook.com,+816612784849,Nuts,362,1,1
59,"Alicia Johnson",44,"Prefer not to say",1981-11-06,Manchester,"United Kingdom",95538.18,95.54,Divorced,Employed,5,Master,Excellent,1.80,87.61,27.04,0,0,O+,0,Never,2021-01-02,alicia.johnson@hotmail.com,+440042517048,Shellfish,312,0,1
60,"Thomas Williams",59,Male,1966-07-10,Paris,France,104910.10,104.91,Single,Unemployed,0,Master,Excellent,1.94,87.42,23.23,1,1,O+,1,Occasionally,2022-02-05,thomas.williams@yahoo.com,+33498727183,Nuts,415,1,0
61,"Carlos Burke",53,Male,1972-03-02,Chicago,"United States",46507.15,46.51,Married,Self-employed,1,Bachelor,Good,1.57,112.98,45.84,1,0,A+,0,Rarely,2021-02-20,carlos.burke@outlook.com,+16588034402,None,622,0,0
62,"Rebecca Winters",43,Female,1982-01-18,Tokyo,Japan,99005.61,99.01,Divorced,Unemployed,0,Bachelor,Excellent,1.77,103.90,33.16,0,0,A-,0,Often,2021-08-16,rebecca.winters@hotmail.com,+818088599852,Dairy,755,0,0
63,"Jeremy Mcdonald",41,Non-binary,1984-03-04,Melbourne,Australia,104150.63,104.15,Married,Unemployed,1,Bachelor,Good,1.74,68.53,22.64,0,0,B+,0,Never,2023-09-30,jeremy.mcdonald@gmail.com,+61029615296,Nuts,642,1,0
64,"Daniel Walters",40,Non-binary,1985-02-03,Milan,Italy,90622.48,90.62,Single,Unemployed,0,Bachelor,Fair,1.95,96.42,25.36,1,1,B-,0,Rarely,2022-02-04,daniel.walters@hotmail.com,+390794137833,Dairy,783,1,1
65,"Sara Rodriguez",23,Female,2002-12-02,Osaka,Japan,60250.97,60.25,Widowed,Unemployed,0,"High School",Poor,1.52,89.50,38.74,0,0,O-,0,Rarely,2023-12-11,sara.rodriguez@outlook.com,+816525634315,Nuts,600,1,1
66,"Todd Torres",31,Male,1994-11-15,"New York","United States",55100.66,55.10,Widowed,Employed,4,Bachelor,Fair,1.61,67.96,26.22,1,0,O-,0,Rarely,2020-01-20,NULL,+10594360981,None,440,0,0
67,"Jessica Peters",74,"Prefer not to say",1951-03-05,Chicago,"United States",100160.31,100.16,Single,Retired,0,Master,Poor,1.83,83.40,24.90,0,0,O+,1,Rarely,2021-07-01,jessica.peters@yahoo.com,+14532344498,None,336,1,1
68,"Mary Leonard",63,Female,1962-03-26,Manchester,"United Kingdom",129720.09,129.72,Divorced,Retired,1,PhD,Good,1.62,86.70,33.04,0,0,O-,1,Occasionally,2021-02-25,mary.leonard@outlook.com,+442880716720,Pollen,675,0,1
69,"Kristen Thompson",33,Female,1992-10-02,Kyoto,Japan,120969.77,120.97,Single,Self-employed,0,Master,Poor,1.52,54.17,23.45,1,1,A+,0,Often,2023-07-25,kristen.thompson@hotmail.com,+813461794325,None,404,1,0
70,"Jeffrey Henry",37,Non-binary,1988-09-10,Hamburg,Germany,112284.84,112.28,Divorced,Employed,4,Master,Excellent,1.75,74.91,24.46,1,1,B-,0,Occasionally,2022-09-06,NULL,+490001397895,Dairy,675,0,0
71,"Maria Murray",39,Female,1986-08-18,Rome,Italy,62445.10,62.45,Single,Unemployed,0,PhD,Excellent,1.94,102.12,27.13,0,0,B+,1,Rarely,2023-06-05,maria.murray@hotmail.com,+391403332043,Shellfish,497,0,1
72,"Monica Ward",43,Female,1982-04-28,Delhi,India,96755.27,96.76,Divorced,Self-employed,0,PhD,Excellent,1.70,61.14,21.16,1,1,B+,1,Never,2021-03-18,monica.ward@yahoo.com,+915683035552,Shellfish,344,1,0
73,"Alexandra Day",24,Female,2001-12-02,Melbourne,Australia,83304.84,83.30,Married,Unemployed,-5,Bachelor,Poor,1.52,66.24,28.67,1,0,B+,0,Occasionally,2020-06-22,alexandra.day@hotmail.com,+61403976534,Pollen,436,0,0
74,"Kevin Romero DDS",52,Non-binary,1973-07-19,Hamburg,Germany,80398.78,80.40,Married,Unemployed,2,PhD,Excellent,1.96,89.82,23.38,0,0,A-,1,Rarely,2023-07-21,kevin.dds@yahoo.com,+498523784863,None,422,1,1
75,"Courtney Morgan",48,Female,1977-12-21,Sydney,Australia,44734.66,44.73,Divorced,Unemployed,1,Bachelor,Excellent,1.83,51.88,15.49,0,0,A-,0,Never,2023-12-09,courtney.morgan@yahoo.com,+61548500156,Pollen,652,1,1
76,"Mr. Michael Phillips DDS",27,Male,1998-06-30,Mumbai,India,48504.56,48.50,Divorced,Employed,4,Master,Fair,2.00,113.31,28.33,1,1,B-,1,Rarely,2020-05-28,mr..dds@yahoo.com,+918704717596,None,548,1,1
77,"Sarah Buchanan",26,Female,1999-01-27,Lyon,France,100315.01,100.32,Widowed,Employed,4,NULL,Fair,1.71,93.15,31.86,0,0,O+,0,Never,2022-02-20,sarah.buchanan@outlook.com,+33025736057,Dairy,523,0,1
78,"Evan Martinez",46,"Prefer not to say",1979-07-26,Moscow,Russia,91575.07,91.58,Married,NULL,2,Master,Good,1.59,82.49,32.63,0,0,A+,0,Often,2022-12-17,evan.martinez@hotmail.com,+73809780487,Dairy,522,0,0
79,"Betty Bishop",41,Female,1984-07-01,Lyon,France,46800.87,46.80,Married,Unemployed,5,Bachelor,Poor,1.83,87.97,26.27,1,1,B+,0,Often,2023-06-17,betty.bishop@hotmail.com,+33202243613,Shellfish,369,1,0
80,"Cody Burns",53,Male,1972-07-22,Melbourne,Australia,140960.71,140.96,Divorced,Self-employed,0,Bachelor,Fair,1.83,50.73,15.15,0,0,B-,1,Never,2022-11-12,cody.burns@hotmail.com,+61480542644,Shellfish,808,1,1
81,"Melissa Owen",40,Female,1985-02-01,Lyon,France,140080.50,140.08,Single,Unemployed,0,Master,Excellent,1.92,113.72,30.85,1,1,O+,1,Never,2020-06-05,melissa.owen@yahoo.com,+33558960252,Shellfish,782,1,0
82,"Raymond Hernandez",54,Male,1971-10-09,Shanghai,China,76619.34,76.62,Single,NULL,0,Bachelor,Fair,1.84,64.61,19.08,0,0,A+,0,Rarely,2021-06-27,raymond.hernandez@hotmail.com,+8625930780639,None,375,0,1
83,"Denise Hood",41,Non-binary,1984-10-08,"New York","United States",130830.72,130.83,Married,Employed,0,Master,Fair,1.83,85.45,25.52,0,0,B-,0,Occasionally,2020-12-29,denise.hood@yahoo.com,+15305692124,Dairy,443,1,0
84,"Jasmine Carr",73,Non-binary,1952-12-10,Milan,Italy,116278.95,116.28,Widowed,Retired,0,PhD,Excellent,1.91,66.33,18.18,0,0,B+,1,Never,2023-05-13,jasmine.carr@gmail.com,+394320464640,Dairy,383,1,1
85,"Kathy Diaz",NULL,NULL,1956-05-11,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,kathy.diaz@yahoo.com,NULL,NULL,NULL,NULL,NULL
86,"Donna Morales",48,Female,1977-11-21,Osaka,Japan,30792.63,30.79,Single,Unemployed,0,Bachelor,Fair,2.00,96.88,24.22,0,0,A+,1,Often,2023-03-02,donna.morales@yahoo.com,+813196359665,Dairy,329,1,0
87,"Jeffrey Nelson",44,Male,1981-07-24,Bangalore,India,88490.01,88.49,Married,Employed,0,PhD,Excellent,1.68,65.40,23.17,1,0,AB+,1,Never,2023-09-17,jeffrey.nelson@outlook.com,+919409766427,Shellfish,765,0,1
88,"Dr. Richard Myers",28,Male,1997-09-18,Houston,"United States",136650.98,136.65,Widowed,Self-employed,0,Master,Fair,1.68,108.97,38.61,1,0,B+,0,Often,2022-07-02,dr..myers@hotmail.com,+10983965077,Shellfish,437,0,0
89,"Natalie Wilson",44,Female,1981-06-28,Phoenix,"United States",130210.00,130.21,Divorced,Unemployed,0,Bachelor,Poor,1.84,71.86,21.23,1,1,B+,1,Occasionally,2023-02-25,natalie.wilson@outlook.com,+18617159397,Pollen,581,0,0
90,"Douglas Levine",NULL,NULL,1988-08-13,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,douglas.levine@yahoo.com,NULL,NULL,NULL,NULL,NULL
91,"Virginia Mejia",33,"Prefer not to say",1992-09-27,Osaka,Japan,141068.57,141.07,Married,Unemployed,0,Master,Fair,1.59,107.83,42.65,0,0,O-,1,Often,2021-10-17,virginia.mejia@hotmail.com,+813965422463,None,459,0,0
92,"Mary Anderson",26,Female,1999-01-16,Bangalore,India,38182.91,38.18,Married,Self-employed,5,Bachelor,Fair,1.93,69.51,18.66,1,0,O+,1,Rarely,2021-11-24,mary.anderson@outlook.com,+917663830713,Shellfish,444,0,1
93,"Benjamin Martinez",NULL,NULL,1974-02-01,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,benjamin.martinez@outlook.com,NULL,NULL,NULL,NULL,NULL
94,"Paul Bennett",32,Male,1993-08-07,Berlin,Germany,142308.91,142.31,Divorced,Self-employed,0,PhD,Fair,1.88,90.43,25.59,1,1,AB-,0,Often,2023-03-23,paul.bennett@outlook.com,+494235304149,Dairy,678,1,0
95,"Richard Levine",22,Male,2003-07-27,"Chiang Mai",Thailand,111563.53,111.56,Widowed,Employed,1,"High School",Good,1.96,NULL,NULL,0,0,AB+,0,Never,2023-08-31,richard.levine@hotmail.com,+66726153029,Nuts,763,0,0
96,"Nicholas Alvarez",25,Male,2000-06-25,Paris,France,37037.13,37.04,Married,Unemployed,0,Bachelor,Poor,1.66,57.58,20.90,1,1,A-,0,Occasionally,2023-07-10,nicholas.alvarez@gmail.com,+33714755373,Pollen,346,1,0
97,"William Johnson",57,Non-binary,1968-02-03,Milan,Italy,45477.30,45.48,Widowed,NULL,4,PhD,Fair,1.53,91.28,38.99,1,1,AB+,0,Never,2021-04-22,william.johnson@gmail.com,NULL,Pollen,498,0,1
98,"Sharon Martin",21,Non-binary,2004-02-06,Kyoto,Japan,117433.84,117.43,Married,Unemployed,0,NULL,Fair,NULL,69.97,NULL,1,0,O-,0,Rarely,2022-11-21,sharon.martin@hotmail.com,+814890627656,Dairy,589,1,0
99,"Judy Rodriguez",74,Female,1951-10-24,Shanghai,China,107335.51,107.34,Married,Retired,3,PhD,Poor,1.96,117.59,30.61,1,1,AB+,0,Occasionally,2022-09-26,judy.rodriguez@gmail.com,+8687109488170,Shellfish,668,0,0
100,"Jennifer Roman",NULL,Female,1965-08-21,Shanghai,China,106558.64,106.56,Married,Retired,2,Bachelor,Excellent,1.66,55.03,19.97,0,0,O+,0,Rarely,2020-06-21,jennifer.roman@yahoo.com,+8676896885894,Shellfish,745,1,1
101,"Vanessa Smith",53,Female,1972-11-24,London,"United Kingdom",124503.86,124.50,Single,Self-employed,0,Master,Fair,1.81,65.06,19.86,1,0,A-,0,Often,2021-03-05,vanessa.smith@gmail.com,+449712362798,Pollen,488,0,0
102,"Eric Cunningham",75,"Prefer not to say",1950-07-13,Paris,France,143254.75,143.25,Divorced,Retired,3,PhD,Good,NULL,95.00,NULL,1,1,O+,0,Rarely,2022-08-15,eric.cunningham@outlook.com,+33026566432,Pollen,610,1,1
103,"Albert Phillips",24,Non-binary,2001-02-23,Rome,Italy,135744.18,135.74,Married,Unemployed,0,NULL,Good,1.64,55.47,20.62,0,0,O-,0,Occasionally,2022-02-12,albert.phillips@yahoo.com,+397087110513,Shellfish,525,0,0
104,"Rebecca Bailey",NULL,Female,1954-02-22,"Los Angeles","United States",88215.48,88.22,Divorced,Retired,1,Master,Good,1.87,117.81,33.69,1,1,B+,1,Never,2020-06-24,rebecca.bailey@gmail.com,+15782202191,None,646,0,1
105,"Timothy Johns",60,Male,1965-02-23,Paris,France,117049.03,117.05,Married,Retired,0,Master,Fair,1.93,80.09,21.50,1,1,A-,0,Occasionally,2023-05-22,timothy.johns@outlook.com,+33540337041,None,607,0,1
106,"Juan Wilson",68,Male,1957-10-19,Beijing,China,36586.12,36.59,Single,Retired,0,Master,Good,1.65,108.86,39.99,0,0,O-,1,Occasionally,2021-10-19,juan.wilson@hotmail.com,+8672654016831,Shellfish,430,0,0
107,"Michael Young",45,"Prefer not to say",1980-07-11,Tokyo,Japan,79922.29,79.92,Single,Unemployed,0,PhD,Good,1.83,115.13,34.38,1,0,A-,0,Never,2023-09-24,michael.young@outlook.com,+818821997445,None,480,1,0
108,"Cynthia Ponce",54,Female,1971-06-05,Moscow,Russia,112822.36,112.82,Divorced,Unemployed,0,Master,Good,1.90,79.93,22.14,1,1,AB-,1,Occasionally,2020-04-21,cynthia.ponce@outlook.com,+77461838553,Pollen,441,1,1
